epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,4793.59,0.82928,0.66325,1.12166,0.89866,0.88433,0.9337,0.74205,0.81532,0.54666,1.08807,0.003862,0.003862,0.003862
64,4867.49,0.81719,0.6551,1.11658,0.89864,0.88415,0.9344,0.74431,0.8132,0.54534,1.08666,0.003763,0.003763,0.003763
65,4941.5,0.82057,0.65474,1.1174,0.88796,0.89314,0.93398,0.74487,0.81061,0.54347,1.08395,0.003664,0.003664,0.003664
66,5015.55,0.81669,0.64757,1.11562,0.88915,0.88943,0.93231,0.74402,0.81008,0.54185,1.08305,0.003565,0.003565,0.003565
67,5089.8,0.81427,0.64425,1.11437,0.89733,0.88454,0.93391,0.7452,0.80898,0.54123,1.08397,0.003466,0.003466,0.003466
68,5163.84,0.80817,0.63887,1.11246,0.8962,0.89254,0.93523,0.74633,0.8083,0.53872,1.08327,0.003367,0.003367,0.003367
69,5238.29,0.80703,0.63478,1.11036,0.89793,0.89156,0.93618,0.74759,0.80773,0.53684,1.08256,0.003268,0.003268,0.003268
70,5312.61,0.79747,0.62758,1.10184,0.90596,0.88609,0.93693,0.74856,0.80746,0.53593,1.08201,0.003169,0.003169,0.003169
71,5387.15,0.80205,0.63362,1.10609,0.90875,0.88266,0.93712,0.74951,0.8055,0.533,1.08099,0.00307,0.00307,0.00307
72,5461.47,0.79906,0.62895,1.10528,0.90705,0.88198,0.93698,0.75079,0.80299,0.53117,1.07928,0.002971,0.002971,0.002971
73,5535.92,0.79795,0.6237,1.10302,0.90838,0.88244,0.9375,0.75148,0.80112,0.53112,1.07866,0.002872,0.002872,0.002872
74,5609.86,0.78791,0.6194,1.1004,0.90493,0.88454,0.93752,0.75116,0.80017,0.52954,1.0784,0.002773,0.002773,0.002773
75,5683.89,0.7969,0.61499,1.10583,0.90442,0.88409,0.93779,0.75133,0.79909,0.52887,1.07765,0.002674,0.002674,0.002674
